timestamp,price,action,position,balance
2023-01-04 02:10:00,16721.13639,buy,long,9705.51
2023-01-04 03:05:00,16806.03,close,long,9790.32
2023-01-04 03:20:00,16806.368985,buy,long,9790.32
2023-01-04 03:30:00,16818.49,close,long,9802.43
2023-01-04 03:35:00,16814.723159999998,buy,long,9802.43
2023-01-04 03:45:00,16817.54,close,long,9805.25
2023-01-04 04:15:00,16866.378975,buy,long,9805.25
2023-01-04 04:35:00,16874.41,close,long,9813.27
2023-01-04 04:40:00,16880.81619,buy,long,9813.27
2023-01-04 04:45:00,16875.46,close,long,9807.92
2023-01-04 04:50:00,16870.531049999998,buy,long,9807.92
2023-01-04 05:10:00,16843.93,close,long,9781.34
2023-01-04 05:15:00,16858.855215,buy,long,9781.34
2023-01-04 05:45:00,16848.44,close,long,9770.94
2023-01-04 05:50:00,16861.20639,buy,long,9770.94
2023-01-04 06:50:00,16868.96,close,long,9778.68
2023-01-04 07:00:00,16876.003784999997,buy,long,9778.68
2023-01-04 10:10:00,16837.7,close,long,9740.42
2023-01-04 10:15:00,16851.16137,buy,long,9740.42
2023-01-04 12:35:00,16818.55,close,long,9707.84
2023-01-04 12:40:00,16835.083334999996,buy,long,9707.84
2023-01-04 12:45:00,16814.32,close,long,9687.1
2023-01-04 12:55:00,16820.596094999997,buy,long,9687.1
2023-01-04 16:10:00,16880.27,close,long,9746.71
2023-01-04 16:35:00,16867.06932,buy,long,9746.71
2023-01-04 17:30:00,16906.16,close,long,9785.76
2023-01-04 17:35:00,16913.782665000002,buy,long,9785.76
2023-01-04 17:40:00,16921.6,close,long,9793.57
2023-01-04 17:55:00,16901.68662,buy,long,9793.57
2023-01-04 18:10:00,16904.34,close,long,9796.22
2023-01-04 18:40:00,16944.237885,buy,long,9796.22
2023-01-04 18:45:00,16969.93,close,long,9821.89
2023-01-04 18:50:00,16981.766639999998,buy,long,9821.89
2023-01-04 19:45:00,16824.04,close,long,9664.32
2023-01-04 20:10:00,16837.03431,buy,long,9664.32
2023-01-04 22:00:00,16828.86,close,long,9656.15
2023-01-04 22:05:00,16834.953269999998,buy,long,9656.15
2023-01-04 23:25:00,16852.42,close,long,9673.6
2023-01-04 23:45:00,16859.095334999998,buy,long,9673.6
2023-01-05 00:10:00,16863.16,close,long,9677.66
2023-01-05 00:20:00,16877.71464,buy,long,9677.66
2023-01-05 04:50:00,16839.4,close,long,9639.39
2023-01-05 04:55:00,16844.828204999998,buy,long,9639.39
2023-01-05 05:10:00,16845.25,close,long,9639.81
2023-01-05 05:25:00,16851.551565,buy,long,9639.81
2023-01-05 06:20:00,16830.72,close,long,9619.0
2023-01-05 07:30:00,16818.294944999998,buy,long,9619.0
2023-01-05 09:05:00,16796.6,close,long,9597.33
2023-01-05 09:10:00,16810.230915,buy,long,9597.33
2023-01-05 10:15:00,16829.16,close,long,9616.24
2023-01-05 10:20:00,16834.69314,buy,long,9616.24
2023-01-05 13:55:00,16780.25,close,long,9561.85
2023-01-05 14:00:00,16796.05383,buy,long,9561.85
2023-01-05 15:05:00,16852.48,close,long,9618.22
2023-01-05 15:15:00,16854.773175,buy,long,9618.22
2023-01-05 15:40:00,16874.4,close,long,9637.82
2023-01-05 15:50:00,16855.72365,buy,long,9637.82
2023-01-05 15:55:00,16842.94,close,long,9625.05
2023-01-05 16:00:00,16851.951764999998,buy,long,9625.05
2023-01-05 18:00:00,16806.4,close,long,9579.55
2023-01-05 18:05:00,16827.62961,buy,long,9579.55
2023-01-05 19:20:00,16844.56,close,long,9596.46
2023-01-05 19:25:00,16843.13736,buy,long,9596.46
2023-01-05 19:50:00,16872.02,close,long,9625.31
2023-01-05 19:55:00,16872.281925,buy,long,9625.31
2023-01-05 23:20:00,16833.89,close,long,9586.96
2023-01-05 23:45:00,16843.29744,buy,long,9586.96
2023-01-06 00:45:00,16868.16,close,long,9611.8
2023-01-06 00:50:00,16868.800184999996,buy,long,9611.8
2023-01-06 01:10:00,16862.45,close,long,9605.45
2023-01-06 01:15:00,16866.028799999996,buy,long,9605.45
2023-01-06 01:55:00,16827.8,close,long,9567.26
2023-01-06 02:15:00,16839.785685,buy,long,9567.26
2023-01-06 06:30:00,16789.48,close,long,9517.01
2023-01-06 06:35:00,16805.828715,buy,long,9517.01
2023-01-06 07:10:00,16784.18,close,long,9495.38
2023-01-06 07:15:00,16797.87474,buy,long,9495.38
2023-01-06 08:15:00,16809.9,close,long,9507.4
2023-01-06 08:25:00,16816.96428,buy,long,9507.4
2023-01-06 09:20:00,16779.36,close,long,9469.83
2023-01-06 09:40:00,16792.392,buy,long,9469.83
2023-01-06 11:05:00,16746.17,close,long,9423.65
2023-01-06 11:15:00,16760.03583,buy,long,9423.65
2023-01-06 11:20:00,16747.84,close,long,9411.47
2023-01-06 12:10:00,16745.518575000002,buy,long,9411.47
2023-01-06 12:25:00,16721.17,close,long,9387.14
2023-01-06 12:30:00,16742.86725,buy,long,9387.14
2023-01-06 15:50:00,16832.9,close,long,9477.09
2023-01-06 16:10:00,16826.499045,buy,long,9477.09
2023-01-06 16:35:00,16826.09,close,long,9476.68
2023-01-06 16:40:00,16830.380985,buy,long,9476.68
2023-01-06 18:30:00,16858.56,close,long,9504.83
2023-01-06 18:35:00,16862.12685,buy,long,9504.83
2023-01-06 19:35:00,16915.91,close,long,9558.56
2023-01-06 20:25:00,16954.072799999998,buy,long,9558.56
2023-01-06 21:25:00,16924.24,close,long,9528.76
2023-01-06 21:30:00,16948.760145,buy,long,9528.76
2023-01-06 22:05:00,16939.09,close,long,9519.1
2023-01-06 22:25:00,16963.927725,buy,long,9519.1
2023-01-06 22:30:00,16957.9,close,long,9513.07
2023-01-06 22:35:00,16951.85169,buy,long,9513.07
2023-01-06 22:55:00,16958.35,close,long,9519.57
2023-01-06 23:00:00,16964.317919999998,buy,long,9519.57
2023-01-06 23:05:00,16961.17,close,long,9516.42
2023-01-06 23:20:00,16980.00576,buy,long,9516.42
2023-01-07 02:45:00,16947.85,close,long,9484.3
2023-01-07 02:55:00,16952.71212,buy,long,9484.3
2023-01-07 05:00:00,16939.42,close,long,9471.02
2023-01-07 05:30:00,16946.2689,buy,long,9471.02
2023-01-07 05:35:00,16934.97,close,long,9459.73
2023-01-07 05:40:00,16943.54754,buy,long,9459.73
2023-01-07 06:00:00,16925.61,close,long,9441.81
2023-01-07 06:05:00,16937.374454999997,buy,long,9441.81
2023-01-07 06:10:00,16927.65,close,long,9432.1
2023-01-07 06:20:00,16938.705120000002,buy,long,9432.1
2023-01-07 07:10:00,16936.07,close,long,9429.46
2023-01-07 07:15:00,16943.70762,buy,long,9429.46
2023-01-07 07:20:00,16946.26,close,long,9432.01
2023-01-07 08:05:00,16953.81267,buy,long,9432.01
2023-01-07 11:00:00,16913.36,close,long,9391.6
2023-01-07 11:05:00,16924.427985,buy,long,9391.6
2023-01-07 13:25:00,16930.52,close,long,9397.69
2023-01-07 13:40:00,16936.033785,buy,long,9397.69
2023-01-07 13:45:00,16931.95,close,long,9393.61
2023-01-07 13:55:00,16927.79967,buy,long,9393.61
2023-01-07 15:05:00,16941.91,close,long,9407.7
2023-01-07 15:35:00,16947.329429999998,buy,long,9407.7
2023-01-07 16:25:00,16924.56,close,long,9384.96
2023-01-07 16:45:00,16932.061799999996,buy,long,9384.96
2023-01-07 17:00:00,16919.44,close,long,9372.35
2023-01-07 17:05:00,16933.462499999998,buy,long,9372.35
2023-01-07 20:05:00,16948.34,close,long,9387.21
2023-01-07 20:10:00,16952.401965,buy,long,9387.21
2023-01-08 01:00:00,16918.98,close,long,9353.82
2023-01-08 01:05:00,16940.596065,buy,long,9353.82
2023-01-08 03:40:00,16936.15,close,long,9349.38
2023-01-08 04:05:00,16947.8697,buy,long,9349.38
2023-01-08 05:50:00,16941.85,close,long,9343.37
2023-01-08 06:00:00,16949.260395,buy,long,9343.37
2023-01-08 07:35:00,16953.53,close,long,9347.63
2023-01-08 07:45:00,16958.795159999998,buy,long,9347.63
2023-01-08 07:50:00,16953.41,close,long,9342.25
2023-01-08 08:00:00,16962.006765,buy,long,9342.25
2023-01-08 08:45:00,16942.82,close,long,9323.09
2023-01-08 08:50:00,16955.253389999998,buy,long,9323.09
2023-01-08 11:45:00,16939.22,close,long,9307.07
2023-01-08 11:50:00,16948.640085,buy,long,9307.07
2023-01-08 11:55:00,16927.42,close,long,9285.87
2023-01-08 12:05:00,16936.84419,buy,long,9285.87
2023-01-08 12:10:00,16926.63,close,long,9275.66
2023-01-08 12:30:00,16937.20437,buy,long,9275.66
2023-01-08 12:35:00,16925.34,close,long,9263.81
2023-01-08 12:40:00,16935.463499999998,buy,long,9263.81
2023-01-08 12:45:00,16925.62,close,long,9253.98
2023-01-08 13:05:00,16934.50302,buy,long,9253.98
2023-01-08 14:00:00,16935.0,close,long,9254.48
2023-01-08 14:35:00,16949.81067,buy,long,9254.48
2023-01-08 14:45:00,16950.18,close,long,9254.84
2023-01-08 15:00:00,16950.85119,buy,long,9254.84
2023-01-08 15:45:00,16986.68,close,long,9290.64
2023-01-08 16:00:00,16984.678095,buy,long,9290.64
2023-01-08 16:55:00,16936.87,close,long,9242.88
2023-01-08 17:10:00,16956.05379,buy,long,9242.88
