Datum,Typ,Menge,Preis,BTC,USD
2025-06-24T15:46:54.683205,BUY,0.019009,105214.90,0.019009,8000.00
2025-06-24T15:47:02.179577,SELL,0.005000,105225.00,0.014009,8526.12
2025-06-24T15:47:03.563952,SELL,0.005000,105225.00,0.009009,9052.25
