combination,num_trades,total_pnl,avg_pnl,winrate,hits,misses,error
"{'rsi': 0.5, 'adx': 0.1, 'cci': 0.1}",7948,-24198.50000000005,-3.04460241570207,0.4296678409662808,3415,4533,
"{'rsi': 0.5, 'adx': 0.5, 'cci': 0.1}",994,-2334.8000000000934,-2.34889336016106,0.43762575452716296,435,559,
"{'rsi': 0.5, 'adx': 0.8, 'cci': 0.3}",39617,-32966.889999999956,-0.832139990408157,0.4680566423505061,18543,21074,
"{'rsi': 0.5, 'adx': 0.9, 'cci': 0.1}",163,-65.31999999998061,-0.40073619631889945,0.4171779141104294,68,95,
"{'rsi': 0.6, 'adx': 0.3, 'cci': 0.1}",1370,-3913.0300000000652,-2.8562262773723104,0.4372262773722628,599,771,
"{'rsi': 0.6, 'adx': 0.6, 'cci': 0.3}",42724,-35948.69999999975,-0.8414170021533506,0.46699747214680276,19952,22772,
"{'rsi': 0.6, 'adx': 0.7, 'cci': 0.1}",195,-784.1299999999906,-4.021179487179439,0.4307692307692308,84,111,
"{'rsi': 0.6, 'adx': 1, 'cci': 0.3}",22778,-29181.62000000042,-1.2811317938361761,0.45965405215558874,10470,12308,
"{'rsi': 0.7, 'adx': 0.1, 'cci': 0.1}",2115,-7619.550000000011,-3.6026241134751826,0.4127659574468085,873,1242,
"{'rsi': 0.7, 'adx': 0.4, 'cci': 0.3}",47031,-46484.009999999704,-0.9883695860177267,0.4645233994599307,21847,25184,
"{'rsi': 0.7, 'adx': 0.5, 'cci': 0.1}",248,-1371.140000000023,-5.528790322580738,0.4112903225806452,102,146,
"{'rsi': 0.7, 'adx': 0.8, 'cci': 0.3}",24287,-32024.340000000455,-1.3185794869683558,0.4581463334294067,11127,13160,
"{'rsi': 0.7, 'adx': 0.9, 'cci': 0.1}",55,-256.87999999999283,-4.670545454545325,0.43636363636363634,24,31,
"{'rsi': 0.8, 'adx': 0.3, 'cci': 0.1}",363,-1141.9000000000428,-3.1457300275483275,0.4214876033057851,153,210,
"{'rsi': 0.8, 'adx': 0.6, 'cci': 0.3}",26408,-33945.840000000346,-1.2854377461375472,0.45637685549833384,12052,14356,
"{'rsi': 0.8, 'adx': 0.7, 'cci': 0.1}",67,-254.84999999999582,-3.80373134328352,0.44776119402985076,30,37,
"{'rsi': 0.8, 'adx': 1, 'cci': 0.3}",13712,-28456.53000000031,-2.075301196032695,0.44698074679113187,6129,7583,
"{'rsi': 0.9, 'adx': 0.1, 'cci': 0.1}",636,-3845.6400000000594,-6.046603773584999,0.4056603773584906,258,378,
"{'rsi': 0.9, 'adx': 0.4, 'cci': 0.3}",29397,-41279.8900000002,-1.4042211790318808,0.45416198931863794,13351,16046,
