Datum,Typ,Menge,Preis,BTC,USD
2025-06-12T10:43:47.728193,BUY,0.020115,9943.06,0.020115,9800.00
2025-06-12T10:43:47.782965,BUY,0.020229,9886.65,0.040344,9600.00
2025-06-12T10:43:47.840183,BUY,0.020080,9960.36,0.060423,9400.00
2025-06-12T10:43:47.893365,BUY,0.020050,9975.19,0.080473,9200.00
2025-06-12T10:43:47.950583,BUY,0.020304,9850.42,0.100777,9000.00
2025-06-12T10:43:48.005232,BUY,0.020203,9899.43,0.120980,8800.00
2025-06-12T10:43:48.059067,SELL,0.060490,9911.21,0.060490,9399.53
2025-06-12T10:43:48.112450,SELL,0.030245,9904.77,0.030245,9699.10
2025-06-12T10:43:48.170078,SELL,0.015123,9917.08,0.015123,9849.07
2025-06-12T10:43:48.225008,SELL,0.007561,9937.96,0.007561,9924.21
2025-06-12T10:43:48.278393,BUY,0.020307,9848.84,0.027868,9724.21
2025-06-12T10:43:48.333444,BUY,0.020041,9979.74,0.047909,9524.21
2025-06-12T10:43:48.386053,BUY,0.020140,9930.70,0.068048,9324.21
2025-06-12T10:43:48.439676,SELL,0.034024,9914.42,0.034024,9661.54
2025-06-12T10:43:48.491075,SELL,0.017012,10026.38,0.017012,9832.11
2025-06-12T10:43:48.543175,SELL,0.008506,10065.60,0.008506,9917.73
2025-06-12T10:43:48.594804,SELL,0.004253,10002.65,0.004253,9960.27
2025-06-12T10:43:48.646441,SELL,0.002127,10050.05,0.002127,9981.65
2025-06-12T10:43:48.700666,SELL,0.001063,10082.90,0.001063,9992.37
2025-06-12T10:43:48.754074,SELL,0.000532,10022.24,0.000532,9997.69
