combination,num_trades,total_pnl,avg_pnl,winrate,hits,misses,error
"{'macd': 1, 'cci': 0.4, 'obv': 0.4}",48563,-60729.27999999976,-1.2505257088730053,0.43436361015588,21094,27469,
"{'macd': 1, 'cci': 0.5, 'obv': 1}",47155,-50860.4499999998,-1.0785802141872505,0.4409288516594211,20792,26363,
"{'macd': 1, 'cci': 0.6, 'obv': 0.8}",47866,-55688.24999999976,-1.1634197551497882,0.4378473237788827,20958,26908,
"{'macd': 1, 'cci': 0.7, 'obv': 0.6}",48942,-63531.07999999976,-1.2980891667688235,0.4326958440603163,21177,27765,
"{'macd': 1, 'cci': 0.9, 'obv': 1}",48293,-59362.419999999765,-1.2292137576874447,0.43559107945250863,21036,27257,
"{'macd': 1, 'cci': 1, 'obv': 0.8}",49131,-65865.01999999976,-1.3406000284952424,0.4315198143738169,21201,27930,
"{'macd': 0.1, 'mfi': 0.1, 'obv': 0.6}",45303,-39733.59999999981,-0.8770633291393464,0.44908725691455315,20345,24958,
"{'macd': 0.1, 'mfi': 0.2, 'obv': 0.4}",46630,-40860.09999999981,-0.8762620630495348,0.4470298091357495,20845,25785,
"{'macd': 0.1, 'mfi': 0.3, 'obv': 1}",45898,-40382.32999999981,-0.8798276613360019,0.4481894635931849,20571,25327,
"{'macd': 0.1, 'mfi': 0.4, 'obv': 0.8}",46683,-40840.17999999982,-0.8748405201036741,0.44707923655292076,20871,25812,
"{'macd': 0.1, 'mfi': 0.5, 'obv': 0.6}",48051,-43899.219999999805,-0.913596387171959,0.44469417910137143,21368,26683,
"{'macd': 0.1, 'mfi': 0.7, 'obv': 1}",47556,-42769.7399999998,-0.8993552863991884,0.44564303137353856,21193,26363,
"{'macd': 0.1, 'mfi': 0.8, 'obv': 0.8}",48589,-44602.59999999981,-0.9179567391796458,0.44392763794274426,21570,27019,
"{'macd': 0.2, 'mfi': 0.1, 'obv': 0.2}",46549,-40830.5699999998,-0.8771524629959785,0.44707727341081444,20811,25738,
"{'macd': 0.2, 'mfi': 0.1, 'obv': 1}",45082,-39813.20999999982,-0.8831287431790918,0.4491371279002706,20248,24834,
"{'macd': 0.2, 'mfi': 0.2, 'obv': 0.8}",45666,-40102.05999999981,-0.8781601191258225,0.44853939473568954,20483,25183,
"{'macd': 0.2, 'mfi': 0.3, 'obv': 0.6}",46670,-41003.56999999981,-0.8785851724876754,0.4470109277908721,20862,25808,
