1674526500000,23096.18000000,23135.58000000,23095.10000000,23133.43000000,926.26903000,1674526799999,21412977.57683760,24630,486.03961000,11236399.59552720,0
1674526800000,23133.41000000,23143.56000000,23120.00000000,23138.13000000,831.98936000,1674527099999,19246144.73993710,22986,396.35867000,9169188.99706020,0
1674527100000,23138.88000000,23144.76000000,23087.30000000,23116.75000000,1144.06741000,1674527399999,26452553.13697150,26803,553.81445000,12805429.98132810,0
1674527400000,23116.75000000,23127.64000000,23080.03000000,23103.48000000,824.55703000,1674527699999,19048390.50842950,24036,416.79158000,9628383.54045370,0
1674527700000,23103.48000000,23106.65000000,23040.50000000,23082.87000000,1032.64880000,1674527999999,23826794.16469000,24131,494.24400000,11404440.63015510,0
1674528000000,23083.67000000,23099.18000000,23067.20000000,23085.46000000,746.88527000,1674528299999,17241847.85559910,18474,373.73728000,8627968.31278030,0
1674528300000,23086.25000000,23092.27000000,23046.66000000,23049.99000000,855.42276000,1674528599999,19736384.84727610,20933,381.97114000,8812880.80697850,0
1674528600000,23048.99000000,23074.37000000,23040.40000000,23056.32000000,837.64173000,1674528899999,19312376.95575290,19551,407.11900000,9386350.42680620,0
1674528900000,23056.86000000,23078.00000000,23036.27000000,23036.68000000,706.89223000,1674529199999,16300615.75829970,17476,320.53396000,7391866.49704890,0
1674529200000,23036.68000000,23058.84000000,23031.17000000,23046.16000000,726.76879000,1674529499999,16751022.97399860,19146,355.83841000,8201678.48485050,0
1674529500000,23046.16000000,23047.00000000,23022.00000000,23038.20000000,773.88902000,1674529799999,17826340.23416520,17048,388.34647000,8945615.96732280,0
1674529800000,23038.86000000,23044.00000000,23015.61000000,23034.26000000,658.89101000,1674530099999,15172990.96493090,16904,309.71875000,7132397.84781980,0
1674530100000,23033.72000000,23052.91000000,23029.44000000,23032.97000000,544.09371000,1674530399999,12537777.78483450,17169,274.60454000,6327896.60954560,0
