1674106500000,20819.47000000,20822.27000000,20797.34000000,20799.68000000,487.15799000,1674106799999,10137763.11316050,14057,235.94373000,4910036.22456090,0
1674106800000,20799.68000000,20810.99000000,20793.78000000,20799.98000000,565.35991000,1674107099999,11760462.78771920,16145,284.45555000,5917278.59724540,0
1674107100000,20799.98000000,20807.99000000,20793.34000000,20802.09000000,471.34960000,1674107399999,9804690.36565820,13144,235.85195000,4906096.45801180,0
1674107400000,20802.09000000,20817.50000000,20802.07000000,20805.64000000,513.71747000,1674107699999,10689735.81124410,14542,257.60563000,5360460.82736440,0
1674107700000,20805.01000000,20815.69000000,20802.68000000,20814.82000000,328.75625000,1674107999999,6841445.42703380,12056,172.58043000,3591439.83750750,0
1674108000000,20814.82000000,20823.00000000,20810.04000000,20813.31000000,421.21762000,1674108299999,8767904.68842430,13771,209.08869000,4352335.00686260,0
1674108300000,20813.35000000,20838.78000000,20799.00000000,20835.45000000,659.67462000,1674108599999,13733271.75612660,18714,377.37367000,7856596.55180920,0
1674108600000,20836.02000000,20839.14000000,20819.18000000,20820.97000000,485.60263000,1674108899999,10114143.51163050,16531,257.94487000,5372587.27130250,0
1674108900000,20821.96000000,20824.70000000,20801.86000000,20804.95000000,647.49489000,1674109199999,13474837.10407400,19241,298.38220000,6209712.54171890,0
1674109200000,20804.95000000,20813.66000000,20802.31000000,20804.29000000,482.52148000,1674109499999,10039919.03112740,16186,232.55990000,4838975.70411410,0
1674109500000,20804.29000000,20840.00000000,20802.63000000,20831.73000000,691.72873000,1674109799999,14405067.06161480,18367,374.65099000,7801935.96379510,0
1674109800000,20831.74000000,20854.00000000,20829.95000000,20834.47000000,626.94706000,1674110099999,13066566.28090380,16966,316.73245000,6601309.58866640,0
1674110100000,20834.00000000,20849.96000000,20831.49000000,20839.00000000,530.48097000,1674110399999,11056043.98494830,14736,268.45217000,5594938.89600390,0
1674110400000,20839.00000000,20856.00000000,20830.05000000,20849.80000000,519.95562000,1674110699999,10838680.16541140,16674,281.43711000,5866650.47975060,0
1674110700000,20850.33000000,20855.82000000,20837.87000000,20848.65000000,525.45008000,1674110999999,10954260.19027640,15116,286.72476000,5977539.32957900,0
1674111000000,20848.65000000,20853.20000000,20836.80000000,20840.84000000,511.20209000,1674111299999,10656084.44474350,14713,274.38104000,5719600.28923360,0
1674111300000,20841.51000000,20847.49000000,20826.51000000,20828.59000000,760.42095000,1674111599999,15844605.49707910,17911,369.50782000,7699327.84764660,0
1674111600000,20829.12000000,20840.00000000,20823.67000000,20826.53000000,649.53266000,1674111899999,13530116.96180140,17944,334.52008000,6968310.58346520,0
1674111900000,20826.53000000,20848.83000000,20823.31000000,20843.21000000,648.63074000,1674112199999,13516542.61788360,16629,342.49135000,7137034.00104780,0
1674112200000,20843.76000000,20844.61000000,20828.01000000,20835.61000000,567.34078000,1674112499999,11821340.11412330,17338,264.95023000,5520715.78250840,0
1674112500000,20835.61000000,20844.04000000,20825.02000000,20825.08000000,589.13151000,1674112799999,12274257.79025430,16072,281.24952000,5859946.11770440,0
1674112800000,20825.55000000,20828.09000000,20812.77000000,20817.88000000,797.02906000,1674113099999,16594369.13259120,19738,386.82137000,8053787.78205930,0
1674113100000,20817.87000000,20840.97000000,20816.50000000,20828.91000000,793.41078000,1674113399999,16526141.75997720,19190,413.31425000,8609139.96024590,0
1674113400000,20828.91000000,20833.88000000,20812.28000000,20812.98000000,604.29627000,1674113699999,12584339.40687460,17897,284.82681000,5931578.03952500,0
1674113700000,20812.98000000,20822.16000000,20803.39000000,20806.20000000,618.27504000,1674113999999,12867556.99913230,16068,284.14789000,5913903.56528720,0
1674114000000,20806.90000000,20829.99000000,20805.15000000,20825.53000000,657.65519000,1674114299999,13692325.35966010,16468,356.85082000,7429508.30688610,0
1674114300000,20825.53000000,20836.00000000,20817.40000000,20823.84000000,600.37943000,1674114599999,12504299.02508510,17702,309.04721000,6436651.02136150,0
1674114600000,20823.54000000,20831.02000000,20818.46000000,20822.76000000,321.60771000,1674114899999,6697445.39474500,12757,147.37009000,3068996.11739850,0
1674114900000,20822.76000000,20831.10000000,20809.51000000,20818.95000000,441.62312000,1674115199999,9195168.76420410,13953,229.50370000,4778773.35927610,0
1674115200000,20818.94000000,20836.36000000,20809.51000000,20823.52000000,659.55298000,1674115499999,13733834.77868190,17050,356.23237000,7417909.70975860,0
1674115500000,20823.52000000,20843.00000000,20815.79000000,20840.55000000,833.84495000,1674115799999,17370364.54340210,18576,432.46782000,9009216.75511510,0
1674115800000,20840.00000000,20846.75000000,20815.62000000,20832.04000000,827.00721000,1674116099999,17228456.85698240,19413,418.09015000,8709502.49785390,0
1674116100000,20832.52000000,20841.72000000,20783.96000000,20793.65000000,1305.27452000,1674116399999,27159883.22751630,24289,621.17754000,12925284.73266350,0
1674116400000,20793.87000000,20805.63000000,20783.27000000,20791.80000000,699.47290000,1674116699999,14544037.92527540,18301,323.98549000,6736785.89031020,0
1674116700000,20792.24000000,20815.91000000,20771.83000000,20800.01000000,991.25919000,1674116999999,20617226.07927630,21558,467.15409000,9716302.03496140,0
1674117000000,20800.75000000,20803.64000000,20775.52000000,20778.17000000,646.01006000,1674117299999,13432665.73695220,18191,295.55610000,6145805.78888340,0
1674117300000,20778.17000000,20816.80000000,20775.97000000,20811.51000000,802.99017000,1674117599999,16700700.81164660,19458,401.34835000,8347871.50164890,0
1674117600000,20811.41000000,20813.22000000,20800.42000000,20804.62000000,480.23732000,1674117899999,9991855.18563170,15756,216.68170000,4508344.23075130,0
1674117900000,20804.62000000,20817.31000000,20782.17000000,20785.85000000,653.18129000,1674118199999,13586142.43767810,18435,281.00492000,5845325.36693700,0
