Combination,roi,winrate,num_trades,pnl_sum
"{""adx"":0.4,""cci"":0.1,""ema50"":0.5,""macd"":0.3,""mfi"":0.5}",21.2787291705045,0.4840189455459398,382359,21.2787291705045
"{""adx"":0.4,""cci"":0.1,""ema50"":0.5,""macd"":0.3,""obv"":0.5}",27.377785794596285,0.5167982569599545,274463,27.377785794596285
"{""adx"":0.4,""cci"":0.1,""ema50"":0.5,""macd"":0.3,""roc"":0.5}",27.42577713999599,0.5206556887186109,281109,27.42577713999599
"{""adx"":0.4,""cci"":0.1,""ema50"":0.5,""macd"":0.3,""rsi"":0.5}",22.87905225177152,0.48197912716429697,384998,22.87905225177152
"{""adx"":0.4,""cci"":0.1,""ema50"":0.5,""macd"":0.3,""stoch"":0.5}",6.717662937544541,0.46796234436683876,358937,6.717662937544541
"{""adx"":0.4,""cci"":0.2,""ema50"":0.5,""macd"":0.3,""atr"":0.5}",22.796456430525886,0.4886975753381908,294804,22.796456430525886
"{""adx"":0.4,""cci"":0.2,""ema50"":0.5,""macd"":0.3,""bollinger"":0.5}",23.465143358236105,0.48158991429245407,381530,23.465143358236105
"{""adx"":0.4,""cci"":0.2,""ema50"":0.5,""macd"":0.3,""ma200"":0.5}",32.676842456019415,0.514221867272811,260444,32.676842456019415
"{""adx"":0.4,""cci"":0.2,""ema50"":0.5,""macd"":0.3,""mfi"":0.5}",21.28133824052875,0.4840042899369589,382290,21.28133824052875
"{""adx"":0.4,""cci"":0.2,""ema50"":0.5,""macd"":0.3,""obv"":0.5}",27.321617597184147,0.5168100306167079,274360,27.321617597184147
"{""adx"":0.4,""cci"":0.2,""ema50"":0.5,""macd"":0.3,""roc"":0.5}",27.461829618584908,0.5206910906095786,281063,27.461829618584908
"{""adx"":0.4,""cci"":0.2,""ema50"":0.5,""macd"":0.3,""rsi"":0.5}",22.874765677990908,0.4819760026392421,384959,22.874765677990908
"{""adx"":0.4,""cci"":0.2,""ema50"":0.5,""macd"":0.3,""stoch"":0.5}",6.643416500750327,0.46776721666276205,358548,6.643416500750327
"{""adx"":0.4,""cci"":0.3,""ema50"":0.5,""macd"":0.3,""atr"":0.5}",22.784945971641573,0.48841627974956325,294206,22.784945971641573
"{""adx"":0.4,""cci"":0.3,""ema50"":0.5,""macd"":0.3,""bollinger"":0.5}",23.393000153901816,0.48118960280834616,380295,23.393000153901816
"{""adx"":0.4,""cci"":0.3,""ema50"":0.5,""macd"":0.3,""ma200"":0.5}",32.525236926642144,0.5137300433174284,259249,32.525236926642144
"{""adx"":0.4,""cci"":0.3,""ema50"":0.5,""macd"":0.3,""mfi"":0.5}",21.25751047430967,0.483659084467864,381068,21.25751047430967
"{""adx"":0.4,""cci"":0.3,""ema50"":0.5,""macd"":0.3,""obv"":0.5}",27.907418042526213,0.5164752697068093,273167,27.907418042526213
"{""adx"":0.4,""cci"":0.3,""ema50"":0.5,""macd"":0.3,""roc"":0.5}",27.623121482993763,0.5203360743653915,279700,27.623121482993763
"{""adx"":0.4,""cci"":0.3,""ema50"":0.5,""macd"":0.3,""rsi"":0.5}",22.946413393023857,0.4818376318950937,383733,22.946413393023857
"{""adx"":0.4,""cci"":0.3,""ema50"":0.5,""macd"":0.3,""stoch"":0.5}",6.869004131674838,0.46756357862841236,357746,6.869004131674838
"{""adx"":0.4,""ema50"":0.5,""ma200"":0.1,""macd"":0.3,""atr"":0.5}",29.004507251195005,0.5004985589100119,274792,29.004507251195005
"{""adx"":0.4,""ema50"":0.5,""ma200"":0.1,""macd"":0.3,""bollinger"":0.5}",27.195836993597915,0.49129006334499387,338464,27.195836993597915
"{""adx"":0.4,""ema50"":0.5,""ma200"":0.1,""macd"":0.3,""cci"":0.5}",25.355708423290764,0.48823752693667605,334581,25.355708423290764
"{""adx"":0.4,""ema50"":0.5,""ma200"":0.1,""macd"":0.3,""mfi"":0.5}",27.67693780769851,0.49377336476414985,335976,27.67693780769851
